pattern_context,pattern_value,n,share
pt_path,Irregular Grid,192822.249,0.664
pt_path,Loops & Lollipops,58803.918,0.203
pt_path,Regular Grid,23747.322,0.082
pt_path,Warped Parallel,10174.724,0.035
pt_path,Broken Grid,3762.844,0.013
pt_path,Sparse,1060.326,0.004
