pattern_context,pattern_value,n,share
home,UNKNOWN,15436.0,0.604
home,Irregular Grid,4210.0,0.165
home,Loops & Lollipops,3835.0,0.15
home,Broken Grid,879.0,0.034
home,Regular Grid,878.0,0.034
home,Warped Parallel,291.0,0.011
home,Sparse,22.0,0.001
