pattern_context,pattern_value,n,share
pt_path,Irregular Grid,37253.513,0.558
pt_path,Loops & Lollipops,24839.314,0.372
pt_path,Warped Parallel,2010.781,0.03
pt_path,Broken Grid,1306.947,0.02
pt_path,Regular Grid,1146.201,0.017
pt_path,Sparse,151.984,0.002
