pattern_context,pattern_value,n,share
pt_path,Irregular Grid,66637.363,0.692
pt_path,Loops & Lollipops,15324.346,0.159
pt_path,Regular Grid,9431.171,0.098
pt_path,Warped Parallel,3386.523,0.035
pt_path,Broken Grid,1138.738,0.012
pt_path,Sparse,330.546,0.003
