pattern_context,pattern_value,n,share
city_street_pattern,Irregular Grid,0.498,0.498
city_street_pattern,Loops & Lollipops,0.285,0.285
city_street_pattern,Regular Grid,0.108,0.108
city_street_pattern,Warped Parallel,0.066,0.066
city_street_pattern,Broken Grid,0.031,0.031
city_street_pattern,Sparse,0.011,0.011
