component,n,ok_count,not_ok_count,share_ok
access_egress_sum_ok,288448.0,90635.0,197813.0,0.314
access_ok,288448.0,111526.0,176922.0,0.387
egress_ok,288448.0,182994.0,105454.0,0.634
in_vehicle_ok,288448.0,166835.0,121613.0,0.578
pt_total_ok,288448.0,50188.0,238260.0,0.174
transfer_ok,288448.0,185995.0,102453.0,0.645
walk_direct_ok,288448.0,131443.0,157005.0,0.456
