component,n,ok_count,not_ok_count,share_ok
access_egress_sum_ok,121343.0,62593.0,58750.0,0.516
access_ok,121343.0,72282.0,49061.0,0.596
egress_ok,121343.0,119596.0,1747.0,0.986
in_vehicle_ok,121343.0,106395.0,14948.0,0.877
pt_total_ok,121343.0,48842.0,72501.0,0.403
transfer_ok,121343.0,120133.0,1210.0,0.99
walk_direct_ok,121343.0,48317.0,73026.0,0.398
