pattern_context,pattern_value,n,share
pt_path,Regular Grid,15885.347,0.354
pt_path,Irregular Grid,11403.079,0.254
pt_path,Loops & Lollipops,10051.183,0.224
pt_path,Warped Parallel,6730.059,0.15
pt_path,Broken Grid,785.072,0.018
pt_path,Sparse,3.913,0.0
