pattern_context,pattern_value,n,share
pt_path,Irregular Grid,114380.137,0.443
pt_path,Regular Grid,59401.076,0.23
pt_path,Loops & Lollipops,46205.913,0.179
pt_path,Warped Parallel,36468.6,0.141
pt_path,Broken Grid,1809.874,0.007
