pattern_context,pattern_value,n,share
pt_path,Irregular Grid,184514.717,0.398
pt_path,Regular Grid,116537.492,0.251
pt_path,Loops & Lollipops,91422.009,0.197
pt_path,Warped Parallel,64761.148,0.14
pt_path,Broken Grid,6578.742,0.014
pt_path,Sparse,32.627,0.0
