pattern_context,pattern_value,n,share
home,Irregular Grid,21976.0,0.482
home,Loops & Lollipops,14632.0,0.321
home,Regular Grid,4116.0,0.09
home,Warped Parallel,2592.0,0.057
home,UNKNOWN,1955.0,0.043
home,Broken Grid,215.0,0.005
home,Sparse,140.0,0.003
