city,pattern_value,pattern_context,n,share
narayanganj_dhaka_bangladesh,UNKNOWN,home,78.0,0.013
narayanganj_dhaka_bangladesh,Sparse,home,47.0,0.008
narayanganj_dhaka_bangladesh,Broken Grid,home,44.0,0.008
nouakchott_nouakchott_ouest_mauritania,Irregular Grid,home,9431.0,0.809
nouakchott_nouakchott_ouest_mauritania,Loops & Lollipops,home,1706.0,0.146
nouakchott_nouakchott_ouest_mauritania,Warped Parallel,home,392.0,0.034
nouakchott_nouakchott_ouest_mauritania,Regular Grid,home,93.0,0.008
nouakchott_nouakchott_ouest_mauritania,Broken Grid,home,21.0,0.002
nouakchott_nouakchott_ouest_mauritania,UNKNOWN,home,11.0,0.001
nouakchott_nouakchott_ouest_mauritania,Sparse,home,0.0,0.0
spring_valley_nevada_united_states,Loops & Lollipops,home,6100.0,0.482
spring_valley_nevada_united_states,Regular Grid,home,2327.0,0.184
spring_valley_nevada_united_states,Irregular Grid,home,2149.0,0.17
spring_valley_nevada_united_states,UNKNOWN,home,1360.0,0.107
spring_valley_nevada_united_states,Warped Parallel,home,561.0,0.044
spring_valley_nevada_united_states,Broken Grid,home,107.0,0.008
spring_valley_nevada_united_states,Sparse,home,51.0,0.004
temuco_araucan_a_chile,Irregular Grid,home,2231.0,0.525
temuco_araucan_a_chile,Loops & Lollipops,home,1732.0,0.408
temuco_araucan_a_chile,Warped Parallel,home,197.0,0.046
temuco_araucan_a_chile,UNKNOWN,home,49.0,0.012
temuco_araucan_a_chile,Regular Grid,home,28.0,0.007
temuco_araucan_a_chile,Broken Grid,home,11.0,0.003
temuco_araucan_a_chile,Sparse,home,0.0,0.0
vologda_russia,UNKNOWN,home,335.0,0.278
vologda_russia,Loops & Lollipops,home,307.0,0.255
vologda_russia,Warped Parallel,home,229.0,0.19
vologda_russia,Irregular Grid,home,200.0,0.166
vologda_russia,Regular Grid,home,61.0,0.051
vologda_russia,Broken Grid,home,58.0,0.048
vologda_russia,Sparse,home,14.0,0.012
