pattern_context,pattern_value,n,share
pt_path,Irregular Grid,75180.131,0.562
pt_path,Regular Grid,23613.094,0.176
pt_path,Loops & Lollipops,23398.298,0.175
pt_path,Warped Parallel,9718.618,0.073
pt_path,Broken Grid,1561.218,0.012
pt_path,Sparse,330.546,0.002
