pattern_context,pattern_value,n,share
home,Irregular Grid,26177.0,0.369
home,Loops & Lollipops,18461.0,0.26
home,UNKNOWN,17148.0,0.242
home,Regular Grid,4994.0,0.07
home,Warped Parallel,2883.0,0.041
home,Broken Grid,1094.0,0.015
home,Sparse,162.0,0.002
