pattern_context,pattern_value,n,share
pt_path,Irregular Grid,151628.68,0.467
pt_path,Loops & Lollipops,71045.15,0.219
pt_path,Regular Grid,60545.839,0.186
pt_path,Warped Parallel,38479.38,0.118
pt_path,Broken Grid,3108.581,0.01
pt_path,Sparse,151.984,0.0
