pattern_context,pattern_value,n,share
pt_path,Irregular Grid,359048.922,0.501
pt_path,Loops & Lollipops,140739.465,0.196
pt_path,Regular Grid,136456.638,0.19
pt_path,Warped Parallel,70977.771,0.099
pt_path,Broken Grid,9039.798,0.013
pt_path,Sparse,1089.04,0.002
