pattern_context,pattern_value,n,share
city_street_pattern,Irregular Grid,0.422,0.422
city_street_pattern,Loops & Lollipops,0.307,0.307
city_street_pattern,Regular Grid,0.127,0.127
city_street_pattern,Warped Parallel,0.097,0.097
city_street_pattern,Broken Grid,0.036,0.036
city_street_pattern,Sparse,0.011,0.011
