city,n,ok_count,not_ok_count,share_ok
adelaide_south_australia_australia,8922.0,2699.0,6223.0,0.303
amsterdam_netherlands,54703.0,47445.0,7258.0,0.867
arequipa_peru,4782.0,4069.0,713.0,0.851
delft_netherlands,112420.0,64227.0,48193.0,0.571
vologda_russia,7950.0,4220.0,3730.0,0.531
