city,n,pct_ok_overall,pct_not_ok_overall,pct_ok_walk_only,pct_ok_walk_plus_pt,pct_not_ok_home_to_stop_overall,pct_not_ok_pt_only_overall,pct_not_ok_stop_to_service_overall,pct_not_ok_both_walks_overall,pct_not_ok_multi_component_overall,pct_not_ok_sum_no_single_overall
adelaide_south_australia_australia,8922.0,0.303,0.697,0.285,0.018,0.384,0.15,0.004,0.069,0.035,0.055
amsterdam_netherlands,54703.0,0.867,0.133,0.745,0.123,0.002,0.003,0.037,0.015,0.007,0.068
arequipa_peru,4782.0,0.851,0.149,0.849,0.001,0.149,0.0,0.0,0.0,0.0,0.0
delft_netherlands,112420.0,0.571,0.429,0.447,0.124,0.179,0.023,0.0,0.051,0.005,0.172
vologda_russia,7950.0,0.531,0.469,0.462,0.069,0.151,0.011,0.027,0.062,0.023,0.194
